"file","soil_series"
"AZ-2011-05-27-08.tif","Rositas"
"AZ-2011-05-27-08.tif","Superstition"
"AZ-2011-05-27-08.tif","Vint "
"AZ-2011-05-27-09.tif","Baddy-1"
"AZ-2011-05-27-09.tif","Barkerville-5"
"AZ-2011-05-27-09.tif","Chevelon-9"
"AZ-2011-05-27-09.tif","Cibeque-8"
"AZ-2011-05-27-09.tif","Elledge-6"
"AZ-2011-05-27-09.tif","7"
"AZ-2011-05-27-09.tif","Ess-3"
"AZ-2011-05-27-09.tif","Gordo-1"
"AZ-2011-05-27-09.tif","2"
"AZ-2011-05-27-09.tif","Haplustolls-5"
"AZ-2011-05-27-09.tif","9"
"AZ-2011-05-27-09.tif","10"
"AZ-2011-05-27-09.tif","Jacks-9"
"AZ-2011-05-27-09.tif","Overgaard-6"
"AZ-2011-05-27-09.tif","Roundtop-10"
"AZ-2011-05-27-09.tif","Showlow-8"
"AZ-2011-05-27-09.tif","Sponseller-3"
"AZ-2011-05-27-09.tif","Telephone-7"
"AZ-2011-05-27-09.tif","Thunderbird-4"
"AZ-2011-05-27-09.tif","Tortugas-10"
"AZ-2011-05-27-09.tif","Ustorthents-5"
"AZ-2011-05-27-09.tif","10."
"AZ-2011-05-27-10.tif","Carrizo"
"AZ-2011-05-27-10.tif","Casa Grande"
"AZ-2011-05-27-10.tif","Cristobal"
"AZ-2011-05-27-10.tif","Denure"
"AZ-2011-05-27-10.tif","Gadsden"
"AZ-2011-05-27-10.tif","Gunsight"
"AZ-2011-05-27-10.tif","Indio"
"AZ-2011-05-27-10.tif","Kamato"
"AZ-2011-05-27-10.tif","Pahaka"
"AZ-2011-05-27-10.tif","Quilotosa"
"AZ-2011-05-27-10.tif","Redun"
"AZ-2011-05-27-10.tif","Shontik"
"AZ-2011-05-27-10.tif","Yahana "
"AZ-2011-05-27-11.tif","Carrizo"
"AZ-2011-05-27-11.tif","Chuckawalla"
"AZ-2011-05-27-11.tif","Desert Pavement"
"AZ-2011-05-27-11.tif","Gunsight"
"AZ-2011-05-27-11.tif","Momoli"
"AZ-2011-05-27-12.tif","Carrizo"
